camera,detected_anomaly_windows,mean_normalized_score,max_normalized_score,mean_reconstruction_error,threshold
C10095,215,0.6824133992195129,3.934495449066162,0.12805858254432678,0.1876554042100906
C10118,192,0.64742112159729,4.196979999542236,0.1393120288848877,0.2151799350976944
C10119,197,0.6276006698608398,4.3371901512146,0.12143529951572418,0.1934913545846939
C10390,181,0.619546115398407,3.9425137042999268,0.11913204193115234,0.1922892183065414
C10404,168,0.6154137849807739,4.870834827423096,0.09332738816738129,0.1516498327255249
