sequence_id,num_windows,anomaly_windows,predicted_anomaly_windows,accuracy,precision,recall,f1,auroc
9064-c13a_9064_C10095,204,92,84,0.9313725490196079,0.9642857142857143,0.8804347826086957,0.9204545454545454,0.9897127329192547
9086-c13a_9086_C10095,110,34,34,0.8909090909090909,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9609133126934983
9071-c13a_9071_C10095,154,33,33,0.922077922077922,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9664412722263962
9033-c13a_9033_C10095,123,33,31,0.8861788617886179,0.8064516129032258,0.7575757575757576,0.78125,0.95993265993266
9081-c13a_9081_C10095,88,11,19,0.8863636363636364,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.9504132231404958
9051-c13a_9051_C10095,78,6,8,0.9230769230769231,0.5,0.6666666666666666,0.5714285714285714,0.9189814814814814
9056-c13a_9056_C10095,82,4,6,0.9024390243902439,0.16666666666666666,0.25,0.2,0.8910256410256411
